,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speeds
41,Aklavik,68.22,-135.01,29.89,98,40,2.24
42,Kapaa,22.08,-159.32,79.5,90,75,9.17
43,Liaoyang,41.27,123.17,46.4,93,0,4.47
44,Mataura,-46.19,168.86,45.47,92,88,8.41
45,Vaini,15.34,74.49,71.3,97,76,1.59
46,Puerto Ayora,-0.74,-90.35,82.4,54,75,17.22
47,Amapala,10.26,-84.81,74.27,91,88,0.02
48,Biltine,14.53,20.93,71.66,75,56,7.07
49,Hermanus,-34.42,19.24,56.99,64,8,9.42
50,Cabedelo,-6.97,-34.84,78.8,69,20,13.87
51,Arroyo,41.39,-78.88,65.14,89,90,12.75
52,Winnemucca,40.97,-117.74,75.02,4,1,3.6
53,Hilo,19.71,-155.08,86.0,65,20,10.29
54,Obodivka,49.63,26.02,44.39,60,80,10.98
55,Clyde River,70.47,-68.59,26.6,79,75,4.7
56,Yellowknife,62.45,-114.38,33.8,55,75,21.92
57,Rikitea,-23.12,-134.97,71.75,100,36,24.07
58,Mariestad,58.71,13.82,55.4,71,44,9.17
59,Leh,34.16,77.58,5.42,75,0,1.7
60,Nanortalik,60.14,-45.24,38.09,96,92,3.83
61,Chokurdakh,70.62,147.9,31.7,95,92,13.11
62,Blagoyevo,63.37,47.92,41.42,88,92,9.64
63,Cape Town,-33.93,18.42,57.2,82,75,18.34
64,Carnarvon,-30.97,22.13,44.75,43,0,4.94
65,Nikolskoye,59.7,30.79,51.8,87,75,11.18
66,Nerchinskiy Zavod,51.31,119.61,45.29,57,36,4.72
67,Namatanai,-3.66,152.44,82.82,100,20,13.0
68,Busselton,-33.64,115.35,51.59,100,12,7.63
69,Alenquer,-1.95,-54.74,89.6,62,20,9.17
70,Chuy,-33.69,-53.46,63.83,91,12,15.46
71,Dakar,14.69,-17.45,81.47,99,12,12.88
72,Lavrentiya,65.58,-170.99,43.4,95,92,11.65
73,Tilichiki,60.47,166.1,40.43,100,92,10.98
74,Maniitsoq,65.42,-52.9,35.75,100,92,12.77
75,Dryden,49.79,-92.84,48.2,57,90,11.41
76,Jamestown,-33.21,138.6,38.72,74,0,2.71
77,Ribeira Grande,38.52,-28.7,75.2,83,40,20.8
78,Meadow Lake,54.13,-108.44,50.0,66,75,19.46
79,Eyl,7.98,49.82,75.89,92,0,16.35
80,Saldanha,41.42,-6.55,63.11,77,36,3.38
81,Butaritari,3.07,172.79,83.36,100,0,4.27
82,Ponta do Sol,-20.63,-46.0,84.44,35,64,3.6
83,Mount Pleasant,33.16,-94.97,67.01,83,90,17.22
84,Talnakh,69.49,88.39,40.79,94,100,18.7
85,Castro,-42.48,-73.76,50.69,65,92,3.49
86,Mareeba,-16.99,145.42,64.4,82,20,13.87
87,Portland,45.52,-122.67,74.88,41,1,8.05
88,Georgiyevka,52.25,40.45,36.2,83,0,9.64
89,Stratford-upon-Avon,52.19,-1.71,58.77,82,40,2.24
90,Abeche,13.83,20.83,76.07,60,44,7.4
91,Anuradhapura,8.34,80.41,73.37,99,100,4.38
92,Bambous Virieux,-20.34,57.76,73.4,73,40,10.29
93,Sao Filipe,14.9,-24.5,78.77,96,68,15.23
94,Loandjili,-4.77,11.87,77.0,83,75,5.82
95,Comodoro Rivadavia,-45.87,-67.48,48.2,61,75,16.11
96,Siderno,38.28,16.3,62.56,37,5,10.29
97,Damghan,36.17,54.34,56.18,59,0,2.59
98,Viedma,-40.81,-62.99,49.43,54,68,12.21
99,Humberto de Campos,-2.6,-43.46,81.11,87,20,15.79
100,Vila Velha,-3.71,-38.6,82.4,65,20,13.87
101,Margate,-43.03,147.26,42.8,70,0,10.29
102,Ancud,-41.87,-73.83,52.49,58,68,5.28
103,Mahebourg,-20.41,57.7,73.4,73,40,10.29
104,Boromo,11.74,-2.93,76.88,86,12,4.94
105,Guangyuan,32.43,105.86,56.72,89,88,2.48
106,Tessalit,20.2,1.01,85.88,18,92,3.27
107,Big Rapids,43.7,-85.48,60.35,47,75,16.11
108,Roald,62.58,6.12,48.13,76,75,20.8
109,Souillac,45.6,-0.6,67.19,63,0,6.93
110,New Norfolk,-42.78,147.06,42.8,70,0,10.29
111,Touros,-5.2,-35.46,78.95,78,12,18.37
112,Ola,59.58,151.3,33.8,100,48,8.41
113,Provideniya,64.42,-173.23,48.2,81,75,11.18
114,Gabu,34.78,103.0,42.77,100,92,2.93
115,Klyuchi,52.25,79.17,49.61,83,36,2.82
116,Karangampel,-6.46,108.44,76.88,100,8,11.43
117,Saint-Philippe,45.36,-73.48,69.51,94,75,12.75
118,Richards Bay,-28.77,32.06,64.37,93,36,3.27
119,Saint-Pierre,48.95,4.24,52.45,58,0,8.05
120,Norman Wells,65.28,-126.83,35.6,69,75,2.24
121,Nea Apollonia,40.63,23.44,59.0,24,20,4.7
122,Faya,18.39,42.45,68.0,22,0,4.7
123,Sechura,-5.56,-80.82,74.0,82,0,12.44
124,At-Bashi,41.17,75.81,32.15,62,92,1.36
125,Raahe,64.68,24.47,44.6,93,92,3.36
126,Nanesti,45.55,27.5,38.81,81,0,3.38
127,Port-Cartier,50.03,-66.88,50.0,93,90,9.17
128,Novovasylivka,48.2,37.04,36.74,93,0,2.93
129,Kailua,21.39,-157.74,84.79,67,40,8.05
130,Broome,52.47,1.45,59.09,82,0,8.05
131,Deputatskiy,69.3,139.9,23.87,92,76,3.15
132,La Ronge,55.1,-105.3,42.8,93,90,11.41
133,Half Moon Bay,37.46,-122.43,73.45,87,20,10.29
134,Kavieng,-2.57,150.8,84.62,100,0,9.98
135,Thompson,55.74,-97.86,42.8,52,75,4.7
136,Longyearbyen,78.22,15.63,23.0,62,40,13.87
137,Saskylakh,71.97,114.09,22.61,87,0,8.41
138,Kralendijk,12.15,-68.27,86.0,74,75,9.17
139,Nalut,31.86,10.98,68.87,86,68,12.44
140,Nouadhibou,20.93,-17.03,88.4,42,36,10.98
141,Tuktoyaktuk,69.44,-133.03,30.2,74,75,16.11
142,Jardim de Piranhas,-6.38,-37.35,87.77,35,0,13.67
143,College,64.86,-147.8,47.82,76,75,7.18
144,Sidi Ali,36.1,0.42,73.1,66,0,6.85
145,East London,-33.02,27.91,67.07,100,0,12.77
146,Awbari,26.59,12.77,79.85,35,92,4.16
147,Meghri,38.9,46.25,54.47,99,80,1.14
148,Port Moresby,-9.47,147.16,71.6,83,20,5.82
149,Timaru,-44.39,171.25,45.2,91,0,6.4
150,Alice Town,25.72,-79.3,85.97,97,0,13.0
151,Mangrol,25.33,76.51,68.96,78,0,3.15
152,Murgab,37.5,61.97,66.2,45,0,2.24
153,Chake Chake,-5.25,39.77,78.14,97,92,15.12
154,Muzhi,65.4,64.7,47.09,83,0,17.25
155,Bakel,14.9,-12.46,82.82,76,0,2.48
156,Egvekinot,66.32,-179.17,39.17,94,92,4.05
157,Thai Binh,20.45,106.33,82.82,85,64,7.63
158,Tank,32.22,70.39,62.3,79,36,3.38
159,Kruisfontein,-34.0,24.73,55.28,92,8,5.17
160,Leshukonskoye,64.9,45.76,43.49,91,92,10.98
161,Sioux Lookout,50.1,-91.92,47.5,65,75,5.82
162,Koslan,63.46,48.9,40.43,89,92,9.19
163,Yerazgavors,40.7,43.78,50.4,76,20,4.7
164,Furtwangen,48.05,8.22,49.14,81,0,2.37
165,Rio Gallegos,-51.62,-69.22,51.8,40,40,16.11
166,Porbandar,21.64,69.61,75.98,87,0,7.63
167,Tiksi,71.64,128.87,31.79,94,88,11.21
168,Asyut,27.18,31.19,80.6,51,0,12.75
169,Guerrero Negro,27.97,-114.04,83.9,47,0,11.21
170,Plouzane,48.38,-4.62,56.8,71,0,6.93
171,Lorengau,-2.02,147.27,82.28,100,8,4.94
172,Lompoc,34.64,-120.46,69.46,39,1,6.93
173,Yarkovo,54.81,82.6,50.0,87,0,2.24
174,Marsa Matruh,31.35,27.25,75.2,69,40,6.93
175,Palafrugell,41.92,3.16,60.8,82,0,4.7
176,Kaohsiung,22.62,120.31,76.86,83,40,6.93
177,Vostok,46.45,135.83,30.17,88,0,2.82
178,Rocha,-34.48,-54.34,63.11,75,80,15.01
179,Boguchany,58.38,97.46,36.02,89,36,5.39
180,Marsh Harbour,26.54,-77.06,85.07,97,64,15.68
181,Barrow,-38.31,-60.23,52.22,59,92,13.78
182,Cotonou,6.37,2.43,80.6,83,20,10.29
183,Atar,20.52,-13.05,88.94,20,0,8.63
184,Gigmoto,13.78,124.39,81.02,100,20,13.0
185,Vao,59.1,26.19,49.97,82,0,17.58
186,Ust-Ilimsk,57.96,102.73,41.69,100,92,6.73
187,Lagoa,37.14,-8.45,78.8,69,0,12.75
188,Vangaindrano,-23.35,47.6,66.98,92,48,4.72
189,Shenxian,36.24,115.67,52.4,88,20,3.38
190,Teya,21.05,-89.07,91.4,55,75,6.93
191,Torbay,47.66,-52.73,51.8,53,40,14.99
192,Kansanshi,-12.1,26.43,63.56,57,0,4.16
193,West Bay,50.71,-2.76,49.51,93,0,2.24
194,Ishigaki,24.34,124.16,82.82,100,64,30.67
195,Ciudad Bolivar,8.12,-63.55,81.74,94,8,8.3
196,Kurduvadi,18.09,75.41,68.42,96,36,3.04
197,Issenye,12.51,14.37,77.96,63,0,4.16
198,Bonthe,7.53,-12.5,78.59,92,44,5.73
199,Saint George,39.45,22.34,55.4,66,40,6.93
200,Daru,7.99,-10.85,70.22,100,92,1.59
201,Jaisalmer,26.91,70.91,75.98,60,0,8.08
202,Japura,-0.42,102.29,73.01,97,36,1.7
203,Kamaishi,39.28,141.86,59.78,87,92,8.19
204,Los Llanos de Aridane,28.66,-17.92,73.4,88,0,10.29
205,San Matias,13.97,-86.63,77.0,61,75,6.93
206,Yantikovo,55.52,47.78,41.0,86,40,8.95
207,MBour,14.41,-16.97,81.02,88,8,9.98
208,Dunedin,-45.87,170.5,43.94,81,12,11.99
209,San Patricio,-26.98,-56.83,71.75,92,92,4.05
210,Buluang,10.47,123.98,78.8,83,40,4.7
211,Bani,15.89,120.27,77.15,100,92,5.73
212,Georgetown,6.8,-58.16,91.4,59,40,4.7
213,Hithadhoo,-0.6,73.08,80.57,100,76,9.75
214,Dikson,73.51,80.55,41.96,88,88,30.89
215,Taoudenni,22.68,-3.98,88.13,22,68,7.85
216,Carauari,-4.88,-66.9,97.13,35,8,2.04
217,Port Hardy,50.7,-127.42,62.6,67,20,12.75
218,Forbes,-33.38,148.01,45.29,86,0,6.73
219,Shimanovsk,52.0,127.67,36.83,80,20,3.6
220,Bethel,60.79,-161.76,48.02,89,90,3.36
221,Mashhad,36.3,59.61,66.2,29,0,4.7
222,Batagay-Alyta,67.8,130.41,22.43,88,92,5.39
223,Fairbanks,64.84,-147.72,47.82,76,75,7.18
224,Midland,32.0,-102.08,55.44,91,92,10.29
225,Namibe,-15.19,12.15,66.17,98,0,5.73
226,Batagay,67.65,134.64,21.62,84,44,3.83
227,Cabo San Lucas,22.89,-109.91,88.03,66,75,10.29
228,Bonavista,48.65,-53.11,53.84,84,56,19.93
229,Iqaluit,63.75,-68.52,39.2,64,75,3.36
230,Novoleushkovskaya,45.99,39.99,44.57,84,0,5.39
231,Abu Zabad,12.35,29.25,74.81,76,0,2.93
232,Kutum,14.2,24.66,79.04,44,88,4.05
233,Wanning,48.64,13.53,48.2,70,0,4.7
234,Swan Hill,-35.34,143.56,48.98,55,8,8.86
235,Glenn Heights,32.55,-96.86,67.32,74,90,16.11
236,Kharp,66.82,65.8,45.38,88,8,12.88
237,Severo-Kurilsk,50.68,156.12,47.27,98,12,15.46
238,Bassila,9.0,1.66,73.37,95,20,2.93
239,Isangel,-19.55,169.27,67.61,100,100,21.5
240,Sa Kaeo,13.8,102.09,76.07,94,76,4.27
241,Verkhnyaya Inta,65.99,60.32,45.47,97,92,5.84
242,Winterthur,47.5,8.73,51.8,81,0,1.12
243,Rincon de La Victoria,-21.52,-64.81,80.6,42,75,18.34
244,Tromso,69.65,18.96,41.0,86,75,39.15
245,Sampit,-2.54,112.95,73.37,89,8,5.39
246,Shumikha,55.23,63.28,60.77,44,68,12.77
247,Mackay,53.65,-115.58,53.6,58,90,17.22
248,Neverkino,52.79,46.74,38.81,90,20,6.51
249,Sao Joao da Barra,-21.64,-41.05,78.8,69,0,25.28
250,Dukat,42.44,22.31,39.44,58,0,4.38
251,Serebryansk,49.68,83.3,39.2,100,0,2.37
252,Kholtoson,50.3,103.31,22.07,79,32,2.82
253,Anaconda,46.13,-112.94,60.98,6,1,11.41
254,Sabzevar,36.21,57.68,49.97,62,0,3.6
255,Cherskiy,68.75,161.3,27.2,91,44,3.49
256,Aranos,-24.14,19.11,67.7,18,0,9.64
257,Honningsvag,70.98,25.97,39.2,80,40,3.36
258,Fort Smith,35.39,-94.42,62.31,77,1,12.1
259,Sao Gabriel da Cachoeira,-0.13,-67.09,93.2,49,20,3.36
260,Geraldton,49.72,-86.95,44.6,87,90,4.7
261,Aksu,52.04,76.93,46.4,93,0,2.24
262,Henties Bay,-22.12,14.28,53.48,100,0,4.38
263,Pringsewu,-5.36,104.98,71.75,93,36,2.71
264,Navirai,-23.07,-54.19,85.52,55,56,10.76
265,San Vicente,13.64,-88.78,86.9,65,20,2.24
266,Balkanabat,39.51,54.36,58.97,52,0,3.6
267,Naliya,23.26,68.83,73.19,94,0,6.85
268,Santana do Livramento,-30.89,-55.53,69.5,100,48,3.83
269,Sinnamary,5.38,-52.96,83.36,93,0,17.13
270,Lata,30.78,78.62,51.23,72,0,2.71
271,Cidreira,-30.17,-50.22,71.3,97,76,3.15
272,Lebu,8.96,38.73,53.12,61,32,5.28
273,Kloulklubed,7.04,134.26,78.8,88,75,4.7
274,Zaraza,9.35,-65.33,84.53,79,44,11.43
275,Staryy Nadym,65.61,72.68,57.08,72,64,15.46
276,Nelson Bay,-32.72,152.14,48.2,100,90,9.17
277,Shimoda,34.7,138.93,64.4,93,75,8.05
278,Saint-Georges,46.12,-70.67,67.25,93,100,8.3
279,Brae,60.4,-1.35,51.03,66,92,17.22
280,Bilma,18.69,12.92,79.22,23,0,5.95
281,Vuktyl,63.86,57.31,44.57,98,92,7.96
282,Jambi,-1.6,103.62,73.19,96,0,3.15
283,Padang,-0.92,100.36,81.29,100,12,3.83
284,Codrington,-28.95,153.24,56.36,97,0,2.59
285,Bruggen,46.74,13.19,33.77,79,0,1.59
286,Corumba,-19.0,-57.65,86.65,52,40,5.82
287,Moron,10.49,-68.2,78.05,80,48,4.27
288,Belle Fourche,44.67,-103.85,62.6,33,1,14.99
289,Iskateley,67.68,53.15,40.79,97,48,11.65
290,La Paz,24.15,-110.32,91.4,49,75,5.82
291,Nuuk,64.17,-51.74,35.6,74,90,5.82
292,Ayan,40.67,33.6,41.6,94,92,5.39
293,Tura,25.52,90.21,72.83,99,88,2.71
294,Champerico,16.38,-93.6,87.8,52,40,1.92
295,Krasnogvardeyskiy,57.38,62.32,60.86,58,92,7.29
296,Hualmay,-11.1,-77.61,69.77,65,12,5.61
297,Diego de Almagro,-26.39,-70.05,66.98,70,0,3.71
298,Ushtobe,45.25,77.98,40.97,81,0,4.5
299,Kodiak,39.95,-94.76,68.0,27,1,10.29
300,Svetlaya,46.54,138.33,49.16,100,8,4.72
301,Yarmolyntsi,49.19,26.84,38.72,71,56,4.72
302,Cedar City,37.68,-113.06,73.04,5,1,6.93
303,Athabasca,54.72,-113.29,53.93,55,80,14.79
304,Port Elizabeth,39.31,-74.98,83.53,74,20,12.75
305,Pevek,69.7,170.27,39.89,100,32,11.43
306,Santiago,-33.44,-70.65,64.4,34,75,5.82
307,Vanderhoof,54.02,-124.02,57.62,58,12,5.17
308,Paamiut,61.99,-49.67,38.99,99,92,29.21
309,Bahir Dar,11.59,37.39,53.75,87,32,2.82
310,Alofi,-19.06,-169.92,77.0,73,20,13.87
311,Dongsheng,29.72,112.52,62.84,95,80,7.96
312,Choix,26.71,-108.33,90.65,50,0,2.93
313,Port Blair,11.67,92.75,82.01,100,92,9.98
314,Awjilah,29.14,21.3,81.74,47,20,9.98
315,Novo Aripuana,-5.12,-60.38,83.72,77,8,3.27
316,Bathsheba,13.22,-59.52,84.2,74,20,19.46
317,Nizhniy Tsasuchey,50.52,115.13,52.04,51,64,14.79
318,Faanui,-16.48,-151.75,78.14,100,0,14.12
319,Mana,43.52,20.24,33.66,93,0,1.12
320,Abha,18.22,42.5,68.0,22,0,4.7
321,Watsa,3.04,29.53,64.55,93,12,2.59
322,Poum,41.28,20.71,41.69,48,0,4.94
323,Quelimane,-17.88,36.89,78.8,74,0,16.11
324,Kalat,29.03,66.58,52.67,51,80,2.59
325,Terney,45.05,136.61,51.86,100,68,6.17
326,Camacha,33.08,-16.33,71.82,77,20,4.7
327,Narsaq,60.91,-46.05,39.2,55,40,2.24
328,Buchanan,5.88,-10.05,77.0,94,75,8.63
329,Sorong,-0.86,131.25,80.3,100,64,12.88
330,Nyandoma,61.67,40.21,41.87,96,92,24.29
331,Palora,-1.7,-77.97,67.7,94,44,2.15
332,Dehui,44.53,125.71,41.0,93,0,4.47
333,Cognac,45.69,-0.33,67.17,63,0,6.93
334,Wattegama,7.35,80.68,70.67,98,80,2.71
335,Sorbhog,26.5,90.87,73.19,98,92,2.71
336,San Andres,13.32,122.68,83.9,98,88,12.1
337,Mount Gambier,-37.83,140.78,47.63,75,0,5.61
338,Ostrovnoy,68.05,39.51,38.72,97,92,16.35
339,Kaeo,-35.1,173.78,56.0,80,20,6.62
340,Sibu,2.29,111.83,77.0,94,75,1.12
341,Katsuura,33.93,134.5,66.2,82,75,13.87
342,Port Hawkesbury,45.62,-61.36,62.6,93,90,12.75
343,Wollongong,-34.42,150.89,45.07,87,20,10.29
344,Kahului,20.89,-156.47,84.54,72,40,11.41
345,Esperance,10.24,-61.45,84.2,79,20,3.36
346,Punto Fijo,11.69,-70.21,78.8,83,75,21.27
347,Belmonte,40.36,-7.35,66.89,64,20,4.61
348,Nemuro,43.32,145.57,59.06,100,80,8.75
349,Araouane,18.9,-3.53,86.24,26,0,4.38
350,Puerto Colombia,10.99,-74.96,86.0,84,75,14.99
351,Norrkoping,58.59,16.18,57.63,62,0,18.34
352,Hay River,60.82,-115.79,39.2,60,75,13.87
353,Pangnirtung,66.15,-65.72,35.6,94,40,5.82
354,Caravelas,-17.73,-39.27,76.7,100,8,15.46
355,Kachiry,53.07,76.1,47.36,81,0,2.93
356,Demba,-5.47,22.27,74.72,77,0,2.59
357,Luderitz,-26.65,15.16,55.37,79,0,16.24
358,Hachinohe,40.47,141.48,56.0,85,92,6.96
359,Mangaratiba,-22.96,-44.04,87.46,74,0,11.41
360,Hobyo,5.35,48.53,77.06,86,12,16.58
361,Folsom,38.68,-121.18,87.4,17,1,4.7
362,Waitati,-45.75,170.57,43.94,81,12,11.99
363,Manakara,-22.14,48.01,71.93,93,68,12.77
364,Alice Springs,-23.7,133.88,46.4,20,0,5.82
365,Turukhansk,65.8,87.96,40.88,91,92,15.01
366,Wilmington,39.75,-75.55,82.74,74,1,5.82
367,Tonantins,-2.86,-67.77,88.58,65,8,4.72
368,Bilopillya,51.15,34.31,38.18,73,32,11.77
369,Tekeli,44.86,78.76,38.99,72,0,3.38
370,Lichinga,-13.3,35.25,63.92,79,0,6.4
371,Taksimo,56.36,114.84,28.73,100,64,2.15
372,San Jeronimo,-13.65,-73.37,58.97,34,76,2.48
373,Zhezkazgan,47.8,67.71,54.47,64,0,12.88
374,Filadelfia,-22.35,-60.04,84.17,82,36,6.4
375,Vila,45.18,8.4,52.74,71,0,2.24
376,Methoni,36.82,21.7,66.2,32,75,13.87
377,Kyren,51.68,102.13,25.67,78,80,1.92
378,Belen,36.49,36.19,75.2,78,20,10.29
379,Chhatarpur,24.92,79.59,75.35,69,0,4.61
380,Anzio,41.45,12.63,59.04,41,0,4.7
381,Todos Santos,23.45,-110.23,89.08,66,75,10.29
382,Laguna,27.52,-110.01,95.0,36,5,3.36
383,Adrar,27.87,-0.29,89.6,27,12,14.99
384,Port-Gentil,-0.72,8.78,77.0,94,90,6.93
385,Camalu,30.85,-116.07,82.19,45,0,4.61
386,Naze,5.43,7.07,77.0,100,75,3.38
387,Cuajinicuilapa,16.47,-98.41,86.87,89,0,11.88
388,Ambilobe,-13.19,49.05,71.93,67,0,15.68
389,Scarborough,54.28,-0.41,61.38,82,24,6.93
390,Dvorichna,49.85,37.68,36.2,91,0,3.71
391,Hasaki,35.73,140.83,58.05,93,75,23.04
392,Constitucion,23.99,-104.67,78.8,39,75,2.24
393,Ilulissat,69.22,-51.1,33.8,59,75,14.99
394,Porto Novo,-23.68,-45.44,76.79,64,36,0.92
395,Hakkari,61.34,23.75,48.2,61,40,23.04
396,Gwanda,-20.94,29.0,73.28,24,0,8.97
397,Octeville,49.63,-1.64,53.87,81,0,5.82
398,Mehamn,71.03,27.85,35.89,91,0,3.36
399,Fond du Lac,43.77,-88.45,61.29,46,40,3.36
400,Victoria,5.28,115.24,77.88,94,75,1.12
401,Abrud,46.27,23.07,39.2,69,5,2.24
402,Vardo,39.62,-77.74,79.77,90,90,3.36
403,Mwene-Ditu,-7.01,23.45,71.21,86,0,2.93
404,Gamba,28.28,88.52,25.85,80,36,1.36
405,Skibbereen,51.55,-9.27,51.8,100,20,5.82
406,Suining,30.51,105.57,63.29,85,92,6.73
407,Ende,-8.84,121.65,78.5,100,8,3.71
408,Erenhot,43.65,111.97,52.31,91,68,13.11
409,Airai,-8.93,125.41,59.24,84,0,1.92
410,Rosa Zarate,0.33,-79.47,80.75,89,44,1.7
411,Ambon,47.55,-2.56,57.2,67,0,9.17
412,Okhotsk,59.36,143.24,36.65,100,12,3.27
413,Jalu,29.03,21.55,80.75,48,0,11.54
414,Mercedes,-33.25,-58.03,70.4,71,92,14.23
415,Aquiraz,-3.9,-38.39,82.4,65,20,13.87
416,Melbu,68.5,14.83,39.88,80,90,31.09
417,Ugoofaaru,5.67,73.0,83.09,100,92,12.21
418,Saint-Gaudens,43.11,0.72,59.0,82,0,1.12
419,Tabou,4.42,-7.36,78.77,100,88,13.33
420,Gizo,31.8,34.94,78.04,73,0,3.36
421,Fortuna,38.18,-1.13,75.2,78,75,14.99
422,Grindavik,63.84,-22.43,41.95,80,75,5.82
423,Kieta,-6.22,155.63,76.88,100,32,9.53
424,Teseney,15.11,36.66,72.11,75,0,2.71
425,Bouna,9.27,-3.0,69.86,99,80,3.83
426,Burgeo,47.61,-57.61,54.74,96,92,22.73
427,Jadu,31.95,12.03,69.95,76,68,8.19
428,Bara,10.41,10.6,70.4,97,68,5.28
429,Ayer Molek,2.2,102.32,77.0,94,75,2.15
430,Mountain Home,43.13,-115.69,69.08,4,1,5.82
431,Rosarito,4.91,-75.23,79.03,64,75,5.82
432,Monzon,46.45,11.69,53.6,76,0,1.36
433,Orlik,52.51,99.83,24.14,76,64,2.15
434,Kenai,60.55,-151.26,48.33,87,20,4.7
435,Bandarbeyla,9.49,50.81,77.24,98,32,16.35
436,Taft,11.9,125.42,81.74,89,20,16.13
437,Pavlodar,52.28,76.96,46.4,93,0,2.24
438,Vestmannaeyjar,63.44,-20.27,42.23,99,44,7.4
439,Yamaranguila,14.28,-88.24,67.07,95,92,2.26
440,Pampa,35.54,-100.96,68.76,31,1,4.7
441,Lethem,3.38,-59.8,94.88,41,8,4.72
442,Santa Rosa,-36.62,-64.29,50.87,91,92,10.98
443,Akdepe,42.05,59.39,59.0,54,0,6.93
444,Boulder,40.02,-105.27,67.39,25,1,3.36
445,Rome,41.89,12.48,59.07,41,0,4.7
446,Rosetta,31.4,30.42,77.0,65,40,13.87
447,Lakes Entrance,-37.88,147.99,47.36,100,20,6.17
448,Sobolevo,54.43,31.9,41.69,96,92,27.65
449,Beringovskiy,63.05,179.32,46.37,95,92,24.96
450,Chitral,35.85,71.79,33.95,67,24,1.03
451,Kaitangata,-46.28,169.85,45.74,88,56,12.66
452,Escondido,33.12,-117.08,72.55,78,75,4.7
453,Salina,36.29,-95.15,60.8,55,40,5.82
454,Yura,-16.25,-71.68,69.8,15,0,11.41
455,Diu,20.71,70.98,72.56,95,0,5.73
456,Saint-Augustin,44.83,-0.61,68.81,56,0,8.05
457,Prieska,-29.67,22.74,50.51,36,0,3.38
458,Salalah,17.01,54.1,77.0,78,0,4.7
459,Birao,10.3,22.78,77.42,73,32,4.72
460,Havelock,34.88,-76.9,88.2,63,75,10.29
461,Vernon,50.27,-119.27,60.8,63,90,8.05
462,Millau,44.1,3.08,57.2,67,0,5.82
463,Trincomalee,8.58,81.23,72.92,98,68,5.06
464,Jobat,22.42,74.57,67.7,85,0,1.36
465,Usinsk,66.0,57.56,43.49,98,88,10.65
466,San Cristobal,-0.39,-78.55,69.8,40,75,17.22
467,Galesong,-5.32,119.37,71.6,78,0,1.12
468,Bereda,43.27,-7.54,69.8,60,0,6.93
469,Grafton,-29.69,152.93,54.83,100,0,3.49
470,Gao,16.28,-0.04,86.6,36,56,2.93
471,Dire Dawa,9.59,41.86,58.61,67,8,2.93
472,Phangnga,8.45,98.53,77.41,78,40,4.7
473,Flinders,-34.58,150.85,42.8,100,20,11.41
474,Salinas,36.67,-121.66,72.16,25,1,4.7
475,Maldonado,-34.91,-54.96,59.0,93,90,13.87
476,Zeya,53.74,127.27,36.65,92,12,2.04
477,Paracuru,-3.41,-39.03,82.4,65,20,13.87
